occupation,occupationLabel,occupationDescription
http://www.wikidata.org/entity/Q115088092,Q115088092,
http://www.wikidata.org/entity/Q12810701,Q12810701,
http://www.wikidata.org/entity/Q4009363,Q4009363,
http://www.wikidata.org/entity/Q52158870,Q52158870,
http://www.wikidata.org/entity/Q19204627,American football player,athlete who plays American football
http://www.wikidata.org/entity/Q19841381,Canadian football player,player of Canadian football
http://www.wikidata.org/entity/Q3922505,DJ producer,person producing music via an electronic instrumentation and computers
http://www.wikidata.org/entity/Q101444631,English teacher,person who teaches the English language and English literature
http://www.wikidata.org/entity/Q45217546,Instagram blogger,blogger posting on Instagram
http://www.wikidata.org/entity/Q2045208,Internet celebrity,someone who has become famous by means of the Internet
http://www.wikidata.org/entity/Q116186044,Japan Enthusiast,"person who is interested in Japan's history, culture or language"
http://www.wikidata.org/entity/Q226008,Japanese idol,type of entertainer
http://www.wikidata.org/entity/Q19509201,LGBTQI+ rights activist,"person campaigning in favour of, or otherwise an active supporter of LGBT rights issues"
http://www.wikidata.org/entity/Q94299591,Mid Wifery,
http://www.wikidata.org/entity/Q13382605,Nordic combined skier,sportsperson taking part in Nordic combined competitions
http://www.wikidata.org/entity/Q728711,Playboy Playmate,female model featured in a centerfold of Playboy magazine
http://www.wikidata.org/entity/Q11631650,Reader model,"Amateur fashion model for magazines, usually chosen from among the readers"
http://www.wikidata.org/entity/Q42903750,School Founder,Swedish title
http://www.wikidata.org/entity/Q388513,Thai boxer,profession
http://www.wikidata.org/entity/Q17125263,YouTuber,person that produces videos on YouTube
http://www.wikidata.org/entity/Q18510179,abolitionist,social activist seeking end of slavery
http://www.wikidata.org/entity/Q3400985,academic,person who works as a teacher or researcher at a university or other higher education institution
http://www.wikidata.org/entity/Q15253558,activist,"person working with promoting or impeding, or causing social, political, economic, or environmental change"
http://www.wikidata.org/entity/Q33999,actor,"person who acts in a dramatic or comic production and works in film, television, theatre, or radio"
http://www.wikidata.org/entity/Q4685922,adult educator,person who facilitates the learning of adults
http://www.wikidata.org/entity/Q10497074,aerospace engineer,engineering profession
http://www.wikidata.org/entity/Q2095549,aircraft pilot,person controlling an aircraft in flight
http://www.wikidata.org/entity/Q4144610,alpine skier,sportsperson taking part in alpine skiing competitions
http://www.wikidata.org/entity/Q3621491,archaeologist,person studying human activity in the past
http://www.wikidata.org/entity/Q42973,architect,"person trained to plan and design buildings, and oversee their construction"
http://www.wikidata.org/entity/Q14623005,architectural draftsperson,drafter of technical drawings of buildings
http://www.wikidata.org/entity/Q2478141,aristocrat,a person who either possesses hereditary titles granted by a monarch or is related to such people
http://www.wikidata.org/entity/Q10732476,art collector,person who collects art
http://www.wikidata.org/entity/Q4164507,art critic,person who specializes in evaluating art
http://www.wikidata.org/entity/Q706364,art director,person responsible for leading teams in the artistic design and production of various kinds of visual art works
http://www.wikidata.org/entity/Q15977927,art educator,educator focused on the arts
http://www.wikidata.org/entity/Q1792450,art historian,humanist who is engaged in history of art
http://www.wikidata.org/entity/Q29632060,art therapist,profession
http://www.wikidata.org/entity/Q1294787,artisan,skilled craft worker who makes or creates things by hand
http://www.wikidata.org/entity/Q483501,artist,person who engages in any form of artistic creation or practice
http://www.wikidata.org/entity/Q713223,artist-in-residence,program that invites artists to works at a specific venue or place for a period of time
http://www.wikidata.org/entity/Q1797162,artistic director,artistic leader of a cultural institution
http://www.wikidata.org/entity/Q88108832,artstrader,artisan/craftsperson who owns their own business
http://www.wikidata.org/entity/Q937857,association football player,person who plays association football (soccer)
http://www.wikidata.org/entity/Q155647,astrologer,person who practices astrology
http://www.wikidata.org/entity/Q11513337,athletics competitor,"sportsperson that competes in athletics (track and field, running, walking)"
http://www.wikidata.org/entity/Q482980,author,"a writer of a book, article, or document (subclass : literary works: writer [Q36180])"
http://www.wikidata.org/entity/Q18814623,autobiographer,person who wrote their autobiography
http://www.wikidata.org/entity/Q13141064,badminton player,sportsperson specialized in badminton
http://www.wikidata.org/entity/Q805221,ballet dancer,person who practices the art of ballet
http://www.wikidata.org/entity/Q808266,bartender,person who serves usually alcoholic beverages behind the bar in a licensed establishment
http://www.wikidata.org/entity/Q976015,basket weaver,person who makes baskets
http://www.wikidata.org/entity/Q3665646,basketball player,sportsperson taking part in basketball competitions
http://www.wikidata.org/entity/Q63870933,beadworker,artist who works with beads
http://www.wikidata.org/entity/Q23680154,beauty YouTuber,content creator who specializes on beauty related products
http://www.wikidata.org/entity/Q18581305,beauty pageant contestant,participant in a beauty contest
http://www.wikidata.org/entity/Q60723847,beauty queen,person who wins a beauty pageant
http://www.wikidata.org/entity/Q864380,biographer,person who creates biographies
http://www.wikidata.org/entity/Q8246794,blogger,person who writes or records a blog
http://www.wikidata.org/entity/Q13383011,bobsledder,sportsperson practising bobsleighing
http://www.wikidata.org/entity/Q1413170,bookbinder,person who physically creates and repairs books by attaching pages to a spine
http://www.wikidata.org/entity/Q998550,bookseller,person or other agent selling books
http://www.wikidata.org/entity/Q11338576,boxer,sportsperson taking part in boxing competitions
http://www.wikidata.org/entity/Q4956562,brand ambassador,Person employed by an organization or company to represent a brand in a positive light
http://www.wikidata.org/entity/Q15958754,broadcaster,person working in broadcasting
http://www.wikidata.org/entity/Q2961975,business executive,"person responsible for running a business, or an aspect of it"
http://www.wikidata.org/entity/Q911554,business magnate,entrepreneur who has achieved wealth and prominence from a particular industry (or industries)
http://www.wikidata.org/entity/Q43845,businessperson,person involved in activities for the purpose of generating revenue
http://www.wikidata.org/entity/Q5003365,buyer,individual who selects what items are stocked
http://www.wikidata.org/entity/Q15214752,cabaret performer,performing artist specialized in cabaret
http://www.wikidata.org/entity/Q814356,call girl,a sex worker
http://www.wikidata.org/entity/Q1208175,camera operator,professional operator of a film or video camera
http://www.wikidata.org/entity/Q3658608,caricaturist,artist who draws comical or otherwise exaggerated visual cartoons
http://www.wikidata.org/entity/Q1114448,cartoonist,"visual artist who creates cartoons (single images, animation film stills, comics, graphic novels and so on), not necessarily in a humorous style"
http://www.wikidata.org/entity/Q1049296,casting director,person selecting performers for a screenplay
http://www.wikidata.org/entity/Q211236,celebrity,prominent person who commands some degree of public fascination and appears in the media
http://www.wikidata.org/entity/Q7541856,ceramicist,practitioner of ceramic arts
http://www.wikidata.org/entity/Q1062952,character designer,person in charge of developing the style and concept of a character in a creative work
http://www.wikidata.org/entity/Q3499072,chef,person that directs preparation of meals
