item,itemLabel,year,genreLabel
http://www.wikidata.org/entity/Q3524312,Thierry Hermès,1801,male
http://www.wikidata.org/entity/Q94834335,Johann Kranzberger,1804,male
http://www.wikidata.org/entity/Q62128099,August Mannerheim,1805,male
http://www.wikidata.org/entity/Q4962968,Carolina Lindström,1812,female
http://www.wikidata.org/entity/Q4721481,Alexis Lavigne,1812,male
http://www.wikidata.org/entity/Q5363058,Elizabeth Keckley,1818,female
http://www.wikidata.org/entity/Q50296748,Pierre Eugène Lacoste,1818,male
http://www.wikidata.org/entity/Q63150115,Émile Pingat,1820,male
http://www.wikidata.org/entity/Q64876982,John Redfern,1820,male
http://www.wikidata.org/entity/Q277616,Louis Vuitton,1821,male
http://www.wikidata.org/entity/Q5364917,Ellen Curtis Demorest,1824,female
http://www.wikidata.org/entity/Q106151771,Madeleine Laferrière,1825,female
http://www.wikidata.org/entity/Q96272791,Madame Virot,1826,female
http://www.wikidata.org/entity/Q51077492,Catherine Donovan,1826,female
http://www.wikidata.org/entity/Q121325281,Franziska Noll Gross,1831,female
http://www.wikidata.org/entity/Q1255520,Alfred Isidore Römer,1832,male
http://www.wikidata.org/entity/Q2616561,Thomas Burberry,1835,male
http://www.wikidata.org/entity/Q105756627,Olga Bulbenkova,1835,female
http://www.wikidata.org/entity/Q73361289,Ernestine Spitzer,1836,female
http://www.wikidata.org/entity/Q2940051,Caroline Reboux,1837,female
http://www.wikidata.org/entity/Q10310025,José Maria de Sousa,1838,male
http://www.wikidata.org/entity/Q4820946,Augusta Lundin,1840,female
http://www.wikidata.org/entity/Q124705513,M. Stuttmann-Senault,1840,female
http://www.wikidata.org/entity/Q78630882,Félix Poussineau,1841,male
http://www.wikidata.org/entity/Q35136220,Leo Hirsch,1842,male
http://www.wikidata.org/entity/Q4766846,Anna Ben-Yusuf,1845,female
http://www.wikidata.org/entity/Q98822325,Marie Nunziante,1845,female
http://www.wikidata.org/entity/Q18576497,John Fenwick,1846,male
http://www.wikidata.org/entity/Q98848166,Adolf Wilhelm Schack,1846,male
http://www.wikidata.org/entity/Q106151771,Madeleine Laferrière,1847,female
http://www.wikidata.org/entity/Q21535164,Johanna Wilhelmine Weigel,1847,female
http://www.wikidata.org/entity/Q16034564,Christoph Drecoll,1851,male
http://www.wikidata.org/entity/Q2282017,Sidonie Grünwald-Zerkowitz,1852,female
http://www.wikidata.org/entity/Q77848398,Marie-Berthe Montagne Roux,1852,female
http://www.wikidata.org/entity/Q17048051,Gaston-Lucien Worth,1853,male
http://www.wikidata.org/entity/Q19300070,Joana Valls,1855,female
http://www.wikidata.org/entity/Q109289185,Suzanne Pellin,1855,female
http://www.wikidata.org/entity/Q33139493,Ada Nettleship,1856,female
http://www.wikidata.org/entity/Q4996016,Sally Berg,1857,male
http://www.wikidata.org/entity/Q23891121,Sylvain Kahn,1857,male
http://www.wikidata.org/entity/Q62554777,Marie Callot Gerber,1857,female
http://www.wikidata.org/entity/Q16190127,Gunda Beeg,1858,female
http://www.wikidata.org/entity/Q11912538,Carolina Montagne Roux,1858,female
http://www.wikidata.org/entity/Q73355057,Ida Kuranda,1858,female
http://www.wikidata.org/entity/Q60429542,Olivia Frances Tonge,1858,female
http://www.wikidata.org/entity/Q24680685,Mangold Béla Kolos,1859,male
http://www.wikidata.org/entity/Q31795871,Marie Huet,1859,female
http://www.wikidata.org/entity/Q43191640,Annie Jenness Miller,1859,female
http://www.wikidata.org/entity/Q62554778,Marthe Callot Bertrand,1859,female
http://www.wikidata.org/entity/Q110234169,Marie de Solar,1860,female
http://www.wikidata.org/entity/Q4253457,Nadezhda Lamanova,1861,female
http://www.wikidata.org/entity/Q34371243,Kate Ker-Lane,1861,female
http://www.wikidata.org/entity/Q62554779,Regina Callot Tennyson-Chantrell,1861,female
http://www.wikidata.org/entity/Q1045017,Carrie Kennedy,1862,female
http://www.wikidata.org/entity/Q255184,"Lucy, Lady Duff-Gordon",1863,female
http://www.wikidata.org/entity/Q4942808,Amanda Christensen,1863,female
http://www.wikidata.org/entity/Q3051197,Elizabeth Cass,1863,female
http://www.wikidata.org/entity/Q4934659,Erika Aittamaa,1866,female
http://www.wikidata.org/entity/Q111578323,Pauline Flöge,1866,female
http://www.wikidata.org/entity/Q6726893,Louise Chéruit,1866,female
http://www.wikidata.org/entity/Q62554780,Joséphine Callot Crimont,1866,female
http://www.wikidata.org/entity/Q113814599,Kristine Dahl,1867,female
http://www.wikidata.org/entity/Q3941246,Rosa Genoni,1867,female
http://www.wikidata.org/entity/Q5715754,Henri Willis Bendel,1868,male
http://www.wikidata.org/entity/Q3177164,Jenny Sacerdote,1868,female
http://www.wikidata.org/entity/Q19300925,Madame Renaud,1868,female
http://www.wikidata.org/entity/Q63485956,Fia Wille,1868,female
http://www.wikidata.org/entity/Q52637815,Lilli Behrens,1869,female
http://www.wikidata.org/entity/Q562603,Anna Muthesius,1870,female
http://www.wikidata.org/entity/Q62554777,Marie Callot Gerber,1870,female
http://www.wikidata.org/entity/Q111579862,Helene Flöge,1871,female
http://www.wikidata.org/entity/Q95007583,Ludwig Kirschner,1872,male
http://www.wikidata.org/entity/Q5702435,Helen Hay Smith,1873,female
http://www.wikidata.org/entity/Q19873890,Elizabeth Handley-Seymour,1873,female
http://www.wikidata.org/entity/Q79147,Emilie Louise Flöge,1874,female
http://www.wikidata.org/entity/Q19715858,Catharina Kruysveldt-de Mare,1874,female
http://www.wikidata.org/entity/Q63410561,Pierre Yantorny,1874,male
http://www.wikidata.org/entity/Q106772192,Marie von Geldern-Egmond,1875,female
http://www.wikidata.org/entity/Q266934,Madeleine Vionnet,1876,female
http://www.wikidata.org/entity/Q15970964,Victor Lhuer,1876,male
http://www.wikidata.org/entity/Q114276295,Marianne Zels,1876,female
http://www.wikidata.org/entity/Q50873860,Emy Fick,1876,female
http://www.wikidata.org/entity/Q43947983,Henriette Negrin,1877,female
http://www.wikidata.org/entity/Q13643152,Lena Himmelstein,1877,female
http://www.wikidata.org/entity/Q50647277,Jutta Sika,1877,female
http://www.wikidata.org/entity/Q107467670,Madame Margé,1878,female
http://www.wikidata.org/entity/Q64850124,Louise Boulanger,1878,female
http://www.wikidata.org/entity/Q631884,Paul Poiret,1879,male
http://www.wikidata.org/entity/Q2039816,Otto Haas-Heye,1879,male
http://www.wikidata.org/entity/Q3679102,Clare West,1879,female
http://www.wikidata.org/entity/Q109940554,Gerarda Hermina Smit,1879,female
http://www.wikidata.org/entity/Q18352667,Maria Monaci Gallenga,1880,female
http://www.wikidata.org/entity/Q4726756,Aline Bernstein,1880,female
http://www.wikidata.org/entity/Q56460634,Hana Podolská,1880,female
http://www.wikidata.org/entity/Q63351630,Jeanne Hallée,1880,female
http://www.wikidata.org/entity/Q714126,Guccio Gucci,1881,male
http://www.wikidata.org/entity/Q232391,Natalia Goncharova,1881,female
http://www.wikidata.org/entity/Q17394767,Jean-Charles Worth,1881,male
http://www.wikidata.org/entity/Q6187685,Jessie Franklin Turner,1881,female
http://www.wikidata.org/entity/Q94741379,Emmy Schoch,1881,female
http://www.wikidata.org/entity/Q5403180,Ethel Myers,1881,female
http://www.wikidata.org/entity/Q536721,George Barbier,1882,male
http://www.wikidata.org/entity/Q1288912,Eduard Josef Wimmer-Wisgrill,1882,male
http://www.wikidata.org/entity/Q16644419,Jacques Worth,1882,male
http://www.wikidata.org/entity/Q56460634,Hana Podolská,1882,female
http://www.wikidata.org/entity/Q65127476,Luigi Bianchi,1882,male
http://www.wikidata.org/entity/Q45661,Coco Chanel,1883,female
http://www.wikidata.org/entity/Q234503,Nina Ricci,1883,female
http://www.wikidata.org/entity/Q2059987,Paul Iribe,1883,male
http://www.wikidata.org/entity/Q2959504,Charles Jourdan,1883,male
http://www.wikidata.org/entity/Q18715928,Odessa Warren Grey,1883,female
http://www.wikidata.org/entity/Q124705517,Jenny Haesely,1883,female
http://www.wikidata.org/entity/Q88162494,Maria Adelaide Giuseppa Nielli,1883,female
http://www.wikidata.org/entity/Q109806698,Else Raydt,1883,female
http://www.wikidata.org/entity/Q97836416,Giovanni Montorsi,1883,male
http://www.wikidata.org/entity/Q6762690,Bruyère,1884,female
http://www.wikidata.org/entity/Q63219,Hugo Boss,1885,male
http://www.wikidata.org/entity/Q108757021,Yordanka Manolova,1885,female
http://www.wikidata.org/entity/Q15918237,Germaine Bongard,1885,female
http://www.wikidata.org/entity/Q232972,Sonia Delaunay,1885,female
http://www.wikidata.org/entity/Q111577,Howard Greer,1886,male
http://www.wikidata.org/entity/Q18164303,Peter Russell,1886,male
http://www.wikidata.org/entity/Q3629552,Augusta Bernard,1886,female
http://www.wikidata.org/entity/Q3147769,Ida Rosenthal,1886,female
http://www.wikidata.org/entity/Q122542756,Fanny Fern Fitzwater,1886,female
http://www.wikidata.org/entity/Q55979264,Aida Woolf,1886,female
http://www.wikidata.org/entity/Q65953058,Giovanni Fercioni,1886,male
http://www.wikidata.org/entity/Q67071049,Judith Fletcher,1886,female
http://www.wikidata.org/entity/Q1421706,Georges Lepape,1887,male
http://www.wikidata.org/entity/Q2781372,Honorine Deschrijver,1887,female
http://www.wikidata.org/entity/Q3176173,Jeanne Toussaint,1887,female
http://www.wikidata.org/entity/Q67140823,René Bégué,1887,male
http://www.wikidata.org/entity/Q517138,Siri Derkert,1888,female
http://www.wikidata.org/entity/Q17626533,Elspeth Champcommunal,1888,female
http://www.wikidata.org/entity/Q234601,Vera Mukhina,1889,female
http://www.wikidata.org/entity/Q259594,Lyubov' Popova,1889,female
http://www.wikidata.org/entity/Q274620,Hattie Carnegie,1889,female
http://www.wikidata.org/entity/Q16012682,Nell Donnelly Reed,1889,female
http://www.wikidata.org/entity/Q22018539,Germaine Lecomte,1889,female
http://www.wikidata.org/entity/Q3166012,Jean-Gabriel Domergue,1889,male
http://www.wikidata.org/entity/Q110736992,Lalla Ericsson,1889,female
http://www.wikidata.org/entity/Q464023,Elsa Schiaparelli,1890,female
http://www.wikidata.org/entity/Q16009373,Nettie Rosenstein,1890,female
http://www.wikidata.org/entity/Q2465723,Jos De Swerts,1890,male
http://www.wikidata.org/entity/Q5566411,Gladys Emma Peto,1890,female
http://www.wikidata.org/entity/Q6735934,Main Bocher,1890,male
http://www.wikidata.org/entity/Q7106384,Osceola Macarthy Adams,1890,female
http://www.wikidata.org/entity/Q33104488,Ben Zuckerman,1890,male
http://www.wikidata.org/entity/Q94875114,Norbert Jutschenka,1890,male
http://www.wikidata.org/entity/Q118142389,Frieda Lagus,1891,female
http://www.wikidata.org/entity/Q67605878,Sally Milgrim,1891,female
http://www.wikidata.org/entity/Q464037,Caresse Crosby,1892,female
http://www.wikidata.org/entity/Q270643,Mercedes de Acosta,1892,female
http://www.wikidata.org/entity/Q395669,Agostino Lanfranchi,1892,male
http://www.wikidata.org/entity/Q984309,Erté,1892,male
http://www.wikidata.org/entity/Q11850079,Aili-Salli Ahde-Kjäldman,1892,female
http://www.wikidata.org/entity/Q110965126,Gertrud Kornhas-Brandt,1892,female
http://www.wikidata.org/entity/Q111026013,Eva Frieberger,1892,female
http://www.wikidata.org/entity/Q16831505,Gaby Jouval,1892,female
http://www.wikidata.org/entity/Q5946395,José de Zamora,1892,male
http://www.wikidata.org/entity/Q25323625,Edith Mahier,1892,female
http://www.wikidata.org/entity/Q3275682,Madeleine Louise Jeannest,1892,female
http://www.wikidata.org/entity/Q108920008,Gret Kalous,1892,female
http://www.wikidata.org/entity/Q11522372,Yoshiko Sugino,1892,female
http://www.wikidata.org/entity/Q121556664,Peggy Hunt,1892,female
http://www.wikidata.org/entity/Q20657017,Jacob H. Horwitz,1892,male
http://www.wikidata.org/entity/Q354459,Adele List,1893,female
http://www.wikidata.org/entity/Q4760033,André Perugia,1893,male
http://www.wikidata.org/entity/Q3435563,Robert Kalloch,1893,male
http://www.wikidata.org/entity/Q18922466,Flora Villarreal Medina,1893,female
http://www.wikidata.org/entity/Q3985548,Thayaht,1893,male
http://www.wikidata.org/entity/Q7381715,Russell Patterson,1893,male
http://www.wikidata.org/entity/Q122542583,Edna Marie Dunn,1893,female
http://www.wikidata.org/entity/Q541188,Travis Banton,1894,male
http://www.wikidata.org/entity/Q769412,Funk Pál,1894,male
http://www.wikidata.org/entity/Q112418550,Erna Kopriva,1894,female
http://www.wikidata.org/entity/Q5566395,Gladys Calthrop,1894,female
http://www.wikidata.org/entity/Q112876712,Jiang Xiaojian,1894,male
http://www.wikidata.org/entity/Q115132494,Willie Otey Kay,1894,female
http://www.wikidata.org/entity/Q19668713,Omar Kiam,1894,male
http://www.wikidata.org/entity/Q41792848,Gordon Conway,1894,female
http://www.wikidata.org/entity/Q15545078,Irakli Gamrekeli,1894,male
http://www.wikidata.org/entity/Q110670210,Fritzi Berger,1894,female
http://www.wikidata.org/entity/Q120797929,Helen Bond Carruthers,1894,female
http://www.wikidata.org/entity/Q68617872,Helen Cookman,1894,female
